allele,n_peptides,lambda,epsilon,epochs,fake_pcc,fake_mse
A3101,1869,0.1,0.01,200,0.746182,0.029511
A3101,1869,0.1,0.05,200,0.712061,0.034335
A3101,1869,0.1,0.1,200,0.662734,0.043035
A3101,1869,0.3,0.01,200,0.746697,0.029419
A3101,1869,0.3,0.05,200,0.712373,0.034216
A3101,1869,0.3,0.1,200,0.663096,0.042814
A3101,1869,1.0,0.01,200,0.747896,0.029190
A3101,1869,1.0,0.05,200,0.712969,0.033896
A3101,1869,1.0,0.1,200,0.663927,0.042168
A3101,1869,3.0,0.01,200,0.749595,0.028848
A3101,1869,3.0,0.05,200,0.713421,0.033315
A3101,1869,3.0,0.1,200,0.665058,0.040825
A3101,1869,10.0,0.01,200,0.750302,0.028823
A3101,1869,10.0,0.05,200,0.711271,0.032664
A3101,1869,10.0,0.1,200,0.663549,0.038727
A3101,1869,30.0,0.01,200,0.743596,0.031039
A3101,1869,30.0,0.05,200,0.699827,0.033978
A3101,1869,30.0,0.1,200,0.647548,0.039266
A3301,1140,0.001,0.01,200,0.673663,0.030980
A3301,1140,0.001,0.05,200,0.647131,0.035760
A3301,1140,0.001,0.1,200,0.597477,0.044266
A3301,1140,0.003,0.01,200,0.673679,0.030977
A3301,1140,0.003,0.05,200,0.647142,0.035755
A3301,1140,0.003,0.1,200,0.597481,0.044260
A3301,1140,0.01,0.01,200,0.673737,0.030964
A3301,1140,0.01,0.05,200,0.647179,0.035738
A3301,1140,0.01,0.1,200,0.597497,0.044238
A3301,1140,0.1,0.01,200,0.674390,0.030816
A3301,1140,0.1,0.05,200,0.647608,0.035536
A3301,1140,0.1,0.1,200,0.597912,0.043953
A3301,1140,0.3,0.01,200,0.675423,0.030558
A3301,1140,0.3,0.05,200,0.648180,0.035184
A3301,1140,0.3,0.1,200,0.598471,0.043437
A3301,1140,1.0,0.01,200,0.676995,0.030028
A3301,1140,1.0,0.05,200,0.648119,0.034459
A3301,1140,1.0,0.1,200,0.598398,0.042256
A3301,1140,3.0,0.01,200,0.677154,0.029494
A3301,1140,3.0,0.05,200,0.645401,0.033537
A3301,1140,3.0,0.1,200,0.596634,0.040360
A3301,1140,10.0,0.01,200,0.671845,0.029680
A3301,1140,10.0,0.05,200,0.636804,0.032712
A3301,1140,10.0,0.1,200,0.589721,0.037888
A3301,1140,30.0,0.01,200,0.653179,0.032200
A3301,1140,30.0,0.05,200,0.612583,0.033795
A3301,1140,30.0,0.1,200,0.561620,0.037697
A6801,1141,0.001,0.01,200,0.748614,0.038409
A6801,1141,0.001,0.05,200,0.720565,0.044087
A6801,1141,0.001,0.1,200,0.667980,0.055124
A6801,1141,0.003,0.01,200,0.748619,0.038406
A6801,1141,0.003,0.05,200,0.720559,0.044084
A6801,1141,0.003,0.1,200,0.667961,0.055119
A6801,1141,0.01,0.01,200,0.748637,0.038398
A6801,1141,0.01,0.05,200,0.720540,0.044074
A6801,1141,0.01,0.1,200,0.667900,0.055103
A6801,1141,0.1,0.01,200,0.748840,0.038292
